Wavelength (nm),microAmps (mA)
656.0423,0.40175
656.0424,0.40164
656.0425,0.40154
656.0426,0.40156
656.0427,0.40158
656.0428,0.40138
656.0429,0.40154
656.043,0.40146
656.0431,0.40142
656.0432,0.4015
656.0433,0.40156
656.0434,0.40152
656.0435,0.40179
656.0436,0.40154
656.0437,0.40144
656.0438,0.4015
656.0439,0.40148
656.044,0.40156
656.0441,0.40154
656.0442,0.40181
656.0443,0.40158
656.0444,0.40162
656.0445,0.4016
656.0446,0.4016
656.0447,0.40185
656.0448,0.4015
656.0449,0.40173
656.045,0.40158
656.0451,0.40162
656.0452,0.40162
656.0453,0.4016
656.0454,0.4016
656.0455,0.40162
656.0456,0.40162
656.0457,0.40158
656.0458,0.40156
656.0459,0.40158
656.046,0.40166
656.0461,0.40148
656.0462,0.40158
656.0463,0.40169
656.0464,0.40171
656.0465,0.40152
656.0466,0.40156
656.0467,0.40171
656.0468,0.40171
656.0469,0.40162
656.047,0.40177
656.0471,0.40158
656.0472,0.40148
656.0473,0.40158
656.0474,0.4015
656.0475,0.40179
656.0476,0.40179
656.0477,0.40154
656.0478,0.40175
656.0479,0.4016
656.048,0.40156
656.0481,0.40162
656.0482,0.40152
656.0483,0.40142
656.0484,0.40166
656.0485,0.40144
656.0486,0.40154
656.0487,0.40179
656.0488,0.40152
656.0489,0.40158
656.049,0.40187
656.0491,0.40156
656.0492,0.40164
656.0493,0.40158
656.0494,0.40166
656.0495,0.40144
656.0496,0.40142
656.0497,0.40156
656.0498,0.40152
656.0499,0.40162
656.05,0.4015
656.0501,0.4015
656.0502,0.40156
656.0503,0.40169
656.0504,0.40144
656.0505,0.40152
656.0506,0.40173
656.0507,0.40162
656.0508,0.40148
656.0509,0.40148
656.051,0.40156
656.0511,0.40158
656.0512,0.4016
656.0513,0.40152
656.0514,0.40173
656.0515,0.40158
656.0516,0.4016
656.0517,0.40156
656.0518,0.40171
656.0519,0.40162
656.052,0.40154
656.0521,0.4015
656.0522,0.40166
656.0523,0.40169
656.0524,0.4014
656.0525,0.40146
656.0526,0.40166
656.0527,0.40169
656.0528,0.40171
656.0529,0.40146
656.053,0.4016
656.0531,0.4015
656.0532,0.40164
656.0533,0.40154
656.0534,0.40158
656.0535,0.4016
656.0536,0.40162
656.0537,0.40164
656.0538,0.40136
656.0539,0.40158
656.054,0.40148
656.0541,0.40148
656.0542,0.40146
656.0543,0.4016
656.0544,0.40138
656.0545,0.4016
656.0546,0.40166
656.0547,0.4014
656.0548,0.4016
656.0549,0.4016
656.055,0.40164
656.0551,0.4016
656.0552,0.40166
656.0553,0.4016
656.0554,0.40181
656.0555,0.40169
656.0556,0.40162
656.0557,0.40158
656.0558,0.40162
656.0559,0.4015
656.056,0.40156
656.0561,0.40146
656.0562,0.40144
656.0563,0.4016
656.0564,0.40175
656.0565,0.40181
656.0566,0.40156
656.0567,0.40154
656.0568,0.40183
656.0569,0.4016
656.057,0.40171
656.0571,0.40158
656.0572,0.4014
656.0573,0.4015
656.0574,0.4015
656.0575,0.4016
656.0576,0.40152
656.0577,0.40158
656.0578,0.40164
656.0579,0.40154
656.058,0.40156
656.0581,0.40156
656.0582,0.40173
