wavelength (nm),microAmps (mA)
433.8393,0.40101
433.8394,0.40102
433.8395,0.40102
433.8396,0.40106
433.8397,0.40107
433.8398,0.40102
433.8399,0.40099
433.84,0.40111
433.8401,0.40107
433.8402,0.40107
433.8403,0.40111
433.8404,0.401
433.8405,0.40099
433.8406,0.40106
433.8407,0.40106
433.8408,0.40103
433.8409,0.40104
433.841,0.40108
433.8411,0.40108
433.8412,0.40105
433.8413,0.40103
433.8414,0.40099
433.8415,0.40103
433.8416,0.40097
433.8417,0.40106
433.8418,0.40101
433.8419,0.40103
433.842,0.40104
433.8421,0.40103
433.8422,0.40104
433.8423,0.40096
433.8424,0.40097
433.8425,0.401
433.8426,0.401
433.8427,0.401
433.8428,0.40096
433.8429,0.40107
433.843,0.40104
433.8431,0.40099
433.8432,0.40098
433.8433,0.40101
433.8434,0.40101
433.8435,0.40102
433.8436,0.40099
433.8437,0.40098
433.8438,0.40104
433.8439,0.401
433.844,0.40108
433.8441,0.40105
433.8442,0.40107
433.8443,0.40102
433.8444,0.40102
433.8445,0.40101
433.8446,0.40103
433.8447,0.40098
433.8448,0.40115
433.8449,0.40101
433.845,0.40103
433.8451,0.40106
433.8452,0.40098
433.8453,0.40102
433.8454,0.401
433.8455,0.401
433.8456,0.40098
433.8457,0.40104
433.8458,0.401
433.8459,0.40103
433.846,0.40101
433.8461,0.40098
433.8462,0.40108
433.8463,0.40101
433.8464,0.40106
433.8465,0.40102
433.8466,0.40107
433.8467,0.40104
433.8468,0.40107
433.8469,0.40099
433.847,0.40104
433.8471,0.40111
433.8472,0.40111
433.8473,0.40104
433.8474,0.40099
433.8475,0.40104
433.8476,0.40113
433.8477,0.40097
433.8478,0.40103
433.8479,0.40104
433.848,0.40106
433.8481,0.40104
433.8482,0.40101
433.8483,0.40102
433.8484,0.40106
433.8485,0.40107
433.8486,0.40108
433.8487,0.40104
433.8488,0.40105
433.8489,0.40102
433.849,0.40107
433.8491,0.40099
433.8492,0.40104
433.8493,0.40103
433.8494,0.40103
433.8495,0.4011
433.8496,0.40105
433.8497,0.4011
433.8498,0.40105
433.8499,0.40108
433.85,0.40109
433.8501,0.40111
433.8502,0.40103
433.8503,0.40103
433.8504,0.401
433.8505,0.401
433.8506,0.40103
433.8507,0.40105
433.8508,0.40104
433.8509,0.40106
433.851,0.40104
433.8511,0.40108
433.8512,0.40108
433.8513,0.40101
433.8514,0.40109
433.8515,0.401
433.8516,0.40102
433.8517,0.40103
433.8518,0.40109
433.8519,0.40099
433.852,0.40105
433.8521,0.40106
433.8522,0.40101
433.8523,0.40095
433.8524,0.40099
433.8525,0.401
433.8526,0.40109
433.8527,0.40104
433.8528,0.40099
433.8529,0.40108
433.853,0.40105
433.8531,0.40103
433.8532,0.401
