Wavelength (nm),microAmps (mA)
485.9872,0.40177
485.9873,0.40179
485.9874,0.402
485.9875,0.40171
485.9876,0.4019
485.9877,0.40179
485.9878,0.40177
485.9879,0.40186
485.988,0.40181
485.9881,0.40187
485.9882,0.40176
485.9883,0.40189
485.9884,0.4017
485.9885,0.40176
485.9886,0.40179
485.9887,0.40195
485.9888,0.40175
485.9889,0.40169
485.989,0.40183
485.9891,0.40181
485.9892,0.40179
485.9893,0.40183
485.9894,0.4019
485.9895,0.40194
485.9896,0.40193
485.9897,0.40183
485.9898,0.40184
485.9899,0.40184
485.99,0.40198
485.9901,0.402
485.9902,0.40187
485.9903,0.40203
485.9904,0.402
485.9905,0.402
